id,cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,5
42,5
43,28
44,30
45,31
46,34
47,39
48,43
49,56
50,62
51,73
52,82
53,102
54,113
55,119
56,142
57,156
58,194
59,244
60,330
61,396
62,499
63,536
64,657
65,727
66,887
67,987
68,1024
69,1251
70,1397
71,1998
72,2543
73,2567
74,3082
75,3588
76,4778
77,5311
78,5916
79,6725
80,7598
81,8446
82,9205
83,10453
84,11487
85,12322
86,13430
87,14352
88,15722
89,17615
90,18539
91,20080
92,21370
93,23077
94,24530
95,26283
96,27890
97,29451
98,31324
99,33062
100,34863
101,37257
102,39699
103,42505
104,46437
105,49400
106,52987
107,56351
108,59695
109,62808
110,67161
111,70768
112,74292
113,78055
114,81997
115,85784
116,90648
117,95698
118,100328
119,106475
120,112028
121,118226
122,124794
123,131423
124,138536
125,144950
126,150793
127,158086
128,165386
129,173491
130,181827
131,190609
132,198370
133,207191
134,216824
135,226713
136,236184
137,246622
138,257486
139,265928
140,276146
141,286605
142,297535
143,308993
144,320922
145,332424
146,343091
147,354065
148,366946
149,380532
150,395048
151,410451
152,425282
153,440215
154,456183
155,473105
156,490401
157,508953
158,528859
159,548318
160,566840
161,585481
162,604641
163,625544
164,648315
165,673165
166,697413
167,719664
168,742417
169,767296
170,793802
171,820916
172,849522
173,878254
174,906752
175,936181
176,968857
177,1003832
178,1039084
179,1077781
180,1118206
181,1155338
182,1193078
183,1238798
184,1288108
185,1337024
186,1385635
187,1435616
188,1480073
189,1531669
190,1581963
191,1634746
192,1695988
193,1750723
194,1803695
195,1855745
196,1908254
197,1964536
198,2027074
199,2088611
200,2153010
201,2215074
202,2268675
203,2329638
204,2396637
205,2461190
206,2525922
207,2589952
208,2647663
209,2702681
210,2767253
211,2836925
212,2905825
213,2975701
214,3044940
215,3106348
216,3167323
217,3224547
218,3310234
219,3387500
220,3463972
221,3542733
222,3621245
223,3691166
224,3769523
225,3853406
226,3936747
227,4023179
